#FILESUM    2839
#TYPE        9
#SERVICE     11501
;;101304;45;;;;
;;101364;84;;;;
;;101418;84;;;;
;;100635;30;;;;
;;100197;120;;;;
;;100597;270;;;;
;;101408;140;;;;
;;101571;0;;;;
;;100054;150;;;;
;;100054;150;;;;
;;101347;84;;;;
;;100363;60;;;;
;;101475;112;;;;
;;101475;112;;;;
;;100658;240;;;;
;;101050;60;;;;
;;101050;60;;;;
;;101416;140;;;;
;;101416;140;;;;
;;100300;120;;;;
;;100300;120;;;;
;;101609;0;;;;
;;101592;0;;;;
;;101594;0;;;;
;;101630;0;;;;
;;101499;56;;;;
;;100509;60;;;;
;;100509;60;;;;
;;100030;120;;;;
;;100232;-30;;;;
;;101481;56;;;;
;;101463;56;;;;
;;101391;140;;;;
